Customer ID,recency,frequency,monetary,spend_last_30d,spend_prior_30d,spend_velocity,purchase_interval_std,unique_products,unique_categories,weekend_ratio,avg_unit_price,whale_score,return_rate,avg_hour,is_churned
12346.0,225,1,77183.6,0.0,0.0,0.0,0.0,1,1,0.0,1.04,4407.53281550743,0.0,10.0,1
12347.0,29,4,185.0,13.200000000000001,0.0,13.200000000000001,41.14270557732223,11,10,0.0,2.0681818181818183,0.7882500977676468,0.0,12.727272727272727,0
12348.0,148,3,423.52,0.0,0.0,0.0,35.07610772781572,4,3,0.0,10.4575,5.552844010644004,0.0,14.5,1
12350.0,210,1,42.900000000000006,0.0,0.0,0.0,0.0,2,2,0.0,2.5250000000000004,0.534498353965733,0.0,16.0,1
12352.0,162,3,269.53,0.0,0.0,0.0,10.344080432788601,5,5,0.0,45.808,0.3800877183756324,0.0,15.0,0
12353.0,103,1,17.700000000000003,0.0,0.0,0.0,0.0,1,1,0.0,2.95,0.35633223597715535,0.0,17.0,1
12354.0,132,1,54.1,0.0,0.0,0.0,0.0,3,3,0.0,2.3266666666666667,0.47510964796954047,0.0,13.0,1
12356.0,145,2,205.2,0.0,0.0,0.0,46.18802153517006,4,4,0.0,3.1,1.5441063559010064,0.0,9.75,0
12358.0,50,1,15.0,0.0,15.0,0.0,0.0,1,1,0.0,3.75,0.23755482398477024,0.0,10.0,0
12359.0,89,3,572.85,0.0,0.0,0.0,24.342824867497285,24,12,0.0,10.2125,0.36623035364318746,0.0,12.916666666666666,0
12360.0,12,2,95.00000000000001,70.60000000000001,0.0,70.60000000000001,50.80682368868707,4,3,0.0,2.7575000000000003,0.5641927069638293,0.0,9.5,0
12361.0,187,1,17.700000000000003,0.0,0.0,0.0,0.0,1,1,0.0,2.95,0.35633223597715535,0.0,13.0,1
12362.0,20,4,202.78,69.78,37.5,1.8608,28.519530787929106,12,10,0.0,3.1225,0.5048040009676368,0.2,12.25,0
12364.0,12,1,70.2,70.2,0.0,70.2,0.0,3,2,0.0,1.1166666666666667,1.1877741199238512,0.0,15.0,0
12365.0,191,1,20.04,0.0,0.0,0.0,0.0,2,2,0.0,0.835,0.7126644719543107,0.0,13.0,1
12370.0,174,2,247.14999999999998,0.0,0.0,0.0,30.052038200428267,9,9,0.0,2.45,0.7192632170649987,0.0,12.0,0
12372.0,112,2,89.28,0.0,0.0,0.0,47.92007234273893,4,3,0.0,5.505,0.742358824952407,0.0,11.0,1
12377.0,215,2,129.78,0.0,0.0,0.0,17.44133022449836,6,5,0.0,1.6616666666666664,0.9304230606070167,0.0,12.0,1
12378.0,29,1,412.68,412.68,0.0,412.68,0.0,18,11,0.0,3.822222222222222,0.5806895697405495,0.0,10.0,1
12379.0,70,1,85.80000000000001,0.0,0.0,0.0,0.0,4,4,0.0,2.85,0.6532757659581181,0.5,16.0,0
12380.0,85,1,119.80000000000001,0.0,0.0,0.0,0.0,8,5,0.0,2.6037500000000002,0.4899568244685886,0.0,9.0,0
12381.0,19,1,101.82000000000001,101.82000000000001,0.0,101.82000000000001,0.0,6,4,0.0,2.606666666666667,0.43551717730541206,0.0,9.0,0
12383.0,170,3,172.64,0.0,0.0,0.0,21.38089935299395,9,7,0.0,2.3477777777777775,0.6598745110688062,0.0,13.333333333333334,1
12384.0,21,1,97.0,97.0,0.0,97.0,0.0,2,2,0.0,24.25,0.11877741199238512,0.0,11.0,0
12386.0,266,1,47.7,0.0,0.0,0.0,0.0,2,2,0.0,2.1,0.8908305899428883,0.0,9.0,1
12388.0,48,3,168.3,0.0,112.80000000000001,0.0,45.608387386532314,9,5,0.0,2.8833333333333333,0.43551717730541206,0.0,12.555555555555555,0
12393.0,145,3,111.9,0.0,0.0,0.0,47.07794954470015,4,3,0.0,2.45,0.8017475309485995,0.0,10.0,0
12394.0,117,1,10.0,0.0,0.0,0.0,0.0,1,1,0.0,1.25,0.47510964796954047,0.0,14.0,1
12395.0,111,4,118.08,0.0,0.0,0.0,39.32302124710155,6,5,0.0,4.07,0.7324607072863749,0.0,14.333333333333334,0
12397.0,35,1,117.78,0.0,117.78,0.0,0.0,6,4,0.0,2.145,0.9304230606070167,0.0,14.0,0
12399.0,19,3,147.98,28.28,0.0,28.28,35.090698808333,8,7,0.0,2.7944444444444443,0.7852506681718794,0.0,10.333333333333334,1
12401.0,203,1,15.0,0.0,0.0,0.0,0.0,1,1,0.0,3.75,0.23755482398477024,0.0,13.0,1
12402.0,223,1,37.2,0.0,0.0,0.0,0.0,2,2,0.0,2.45,0.47510964796954047,0.0,13.0,1
12405.0,48,1,121.14,0.0,121.14,0.0,0.0,5,5,0.0,2.536,1.4490844263070983,0.0,8.0,1
12406.0,83,1,330.28000000000003,0.0,0.0,0.0,0.0,4,4,0.0,2.5475000000000003,2.4943256518400876,0.0,10.0,0
12407.0,56,3,236.85,0.0,184.04999999999998,0.0,27.937430089397985,8,7,0.1111111111111111,3.3233333333333333,1.062397962820778,0.0,10.11111111111111,0
12408.0,75,2,63.33,0.0,0.0,0.0,0.0,2,2,0.0,9.515,0.2672491769828665,0.3333333333333333,12.0,0
12409.0,82,1,340.20000000000005,0.0,0.0,0.0,0.0,5,3,0.0,4.604,2.423059204644656,0.0,12.0,0
12410.0,208,1,15.0,0.0,0.0,0.0,0.0,1,1,0.0,1.25,0.7126644719543107,0.0,10.0,1
12412.0,37,1,53.4,0.0,53.4,0.0,0.0,2,2,0.0,1.6,1.068996707931466,0.0,11.0,0
12413.0,237,1,117.30000000000001,0.0,0.0,0.0,0.0,6,5,0.0,4.566666666666666,0.3365360006450912,0.0,16.0,0
12414.0,127,1,63.60000000000001,0.0,0.0,0.0,0.0,2,2,0.0,1.3250000000000002,1.4253289439086214,0.0,9.0,1
